comment,labels
"Культура политических мемов слишком молода для того чтобы существовали такие примеры, но кастрированный пример есть - мемы про альт-райтов стали основой для либертарианства в нынешнем виде.
",0
"Прям на лицах написано тупые и наглые очкогорелки
",1
"А как по мне 30 гб 200м безлимитные смс за 440р довольно дорого, учитывая что в 3g у вас довольно низкие скорости.
",0
"бетонная стена с контрфорсами и плитой-основанием;; система отвода атмосферных вод, а если слой водоносный, то еще и грунтовых. Вывоз грунта при этом - самая дешевая статья расходов.
",0
"Ок, берем Сочи, отели 5 звезд на след. выходные, с 1 по 3 марта, Пульман. Из 150 номеров осталось 7, или Хаятт, из 28 люксов, осталось 5. Да уж, оч хуева люди живут.
",0
"SAMP 2008 года - это лучшее, во что можно было играть по сети. Сейчас там настолько токсичный и школьный контингент, что ничего общего с ним иметь не хочется.
",0
"Там пирог: керамзитная засыпка - 8 см., гипсо-волокнистая плита - 1,6 см., пористая подкладка под ламинат - 0.4 см. ну и ламинат - сколько он там... Всё вместе очень эффективно шумо- и теплоизолирует
",0
"А где сейчас живет гомикадзе? Почему конкретно он свинтил с рашки?
",1
"Ну вот честно, мне от этого МФЦ ни холодно, ни горячо. Не знаю как другим. И все равно МФЦ за 20 лет правления так себе результат. Но удобно, не спорю)",0
"300 евро в месяц на содержание ) У меня примерно столько же уходит на бензин в год
",0
"Не, не катит. Это ебань мохнатая пролетает.
",1
"Я думаю, если бы у нас была 3х комн., то проблем было меньше. А в однокомнатной втроём слишком плотно. Я чаще живу в родительской трёшке. Там у меня своя комната, котлеты и рядом работа. А в однёшке живёт бывшая жена с моим сыном, который половину недели у меня, т.к. и школа и тренировки рядом с родительской квартирой. Я прямо дискомфорт ловлю, когда периодически пытаюсь начать жить с женой и сыном. У жены работа по пути мимо меня. Завезла сына в школу, сама на работу. Со школы он к нам, с бабушкой или со мной, потом на тренировку - рядом всё. Если у жены по графику поздно до 21-22 ч, то сын остаётся у меня и жена, хоть и бывшая часто заезжает ко мне и ночует с нами. Мы хоть и ведём хозяйство по раздельности, но расходы на ребенка общие. Секс у нас есть, он даже интереснее при таком раскладе. Любим друг друга, но сходиться не собираемся, вернее я не хочу, а вот она постоянно заводит эти разговоры. Она просит второго ребенка, я пока не хочу, боюсь сложнос тей. В такой ситуации это бред. Чисто из практических соображений. Хотя время уходит, ей 38 лет. Сын появился в 31 г.
",0
"Вероятно, это единственное место, способное выдержать тарелку, а на столб не разрешили.
",0
65 А чего так мало? Вот у гражданина был рейтинг 90 за 3 дня до записи этого видео.,0
"гадит по всей квартире. у меня была в детсве, нашли в лесу бельчонка еще слепого
",0
"Ага, чуть в Турцию вас не отправил. Забыл, что ты кофий не любишь! Да у нас тут погода меняется по семь раз за неделю. Вчера было 36, а сегодня снегопад с дождём и гроза. Прикольно, блин
",1
"связаны Даун, читать то умеешь?
",1
"У нас так на одном месте работы было. Шеф корпоратив на 23 оплачивал гулянку по сути для всего коллектива, а потом на 8 марта почему-то отдельно для девчонок какое-нибудь спа, караоке.
",0
Почему именно мозги нельзя есть? Прионы только в них заводятся?,0
Охренеть! Оказывается и термин есть!,0
"У китайцев это, кстати, норма жизни - делать коллективную зарядку утречком во дворе или в парке. Оно так интереснее и душевнее выходит, да и с соседями лишний раз поздоровкаться.
",0
"дело в том, что Мистери покупают люди скажем так.. специфические. они греют еду без крышки. отсюда и повышенная влажность и налипший жыр
",0
"А в конце стрема радостно говорил Я СЛИЛ МАРГИНАЛА !!!1111 Так-то Стасян в очередной раз слил сам себя и даже не понял этого в силу очевидных причин. Но тут цимес в том, что для самослива Ай721КакПросто по сути-то Павук и не нужен - достаточно просто не мешать ему высказываться
",0
"Вот про вершителей судеб правильно.
",0
"А русские с Путином лучше? Всех кого обвиняет в чем то потом жмёт руку, сбили самолёт в Турции, наложили санкции все равно обнимается и целуется.
",1
"я вот для себя открыл Брендона Сандерса, с его циклом архив буресвета, я такие большие книги в настолько маленькие сроки не читал(
",0
"близкая по духу история, жаль это всё лет 10 назад было
",0
"А они нафиг не нужны стали. Теперь более продвинутые есть, базирующиеся в обычные 20-футовые контейнеры. И им уже не нужен поезд для транспортировки. Их хоть в грузовик, хоть на палубу, хоть на поезд ставь. Причем водитель может и не знать про груз. Так-то.
",0
"Знаете, часто такое видела. Сама на инвалидности с 2лет, и мне ещё очень повезло, что спустя 15лет ежегодных комиссий, на которых эту самую инвалидность продливали на год, перед тем как мне стукнуло 18, сделали бессрочной (как мне тогда показалось, меня просто пожалели ибо была крайне несчастного, болезненно от вида - худая и бледная и т. д) У меня к слову почки нет(3группа).Не, ну не выростит же она, в конце то концов! А с пересадками у слишком мутное дело, много кто рассказывал(врачи и просто люди, которые с этим столкнулись) что у девочек которым пересаживали почку (с аналогичным заболеванием) даже если она подходила на все 100, и все было прекрасно, через пару лет начиналось отторжение и они умирали. А деток, у которых не было глаз(а) которым снимали инвалидность, видела часто. Однажды даже такое было: бабушка с мальчиком лет 8, у которого не было глаза, зашла в кабинет где проходила комиссия. Через какое то время, стало слышно, что бабуля плачет и о чем то просит... Чут ли не умоляет... Когда они вышли, бабулю спросили, что случилось, она сказала что инвалидность сняли. Хз, были ли у него родители или только эта бабушка, но это печально... А так, по моим наблюдениям, даже тем у кого нет рук или ног реже снимают инвалидность, чем тем, у кого глаз(а) нет.
",0
"Убогие на паперти тоже зашибают ого-го, но ведь есть черта, за которой человеческое достоинство превращается в ничто, в животную жажду наживы, в людоедство, попрошайничество и проч. и проч.
",1
"Ошейник называется СТРОГАЧ , очень жестоко , надеюсь хозяева , короче долбоебы
",1
"Не, просто будильник в процессе был в прямой видимости. Дабы не было у кого снижения самооценки-считайте, что мне привидилось.
",0
"врубой далбаеб я уже все взял готов чилить
",1
"...хал Ваня на коне с бородавкой на хуу...
",1
"У вас что, ночное большевистское обострение?",0
"о цене не сообщается SanDisk, если не ошибаюсь, такую же выпустил. Говорят 29000 р. будет стоить. Дороже телефона.
",0
"Пиздеж все это. Реальный уровень у пыни не более 10 . Я вообще доверяю не очень ВЦИОМу всяким Росстатам. В любой очереди в Пятёрочке или у подъезда достовернее сведения кроют пыню хуями, не замечают роста зарплат, и не живут больше 65
",0
"Сорри если не по теме поста. Есть микроволновка, при запуске даже пустой начинает сразу сверкать как будто туда фольгу закинули. В чем может быть проблема? Как то не горю желанием новую покупать, а с микроволновками дело не имел. Заранее спасибо)
",0
"С 0:00, там движение в обратную сторону пошло почему-то (читаем про текущий дрейф материков)",0
"Порошенко - путинский подлиза поэтому он никогда не сделает ничего , что было бы хорошо для Украины.
",1
"Тупые мамашки отказались спасать своих детей и съебывать из города. Все ясно.
",1
"Цифровая капча слишком легко обходится скриптами. Гуглкапча тоже очень даже легко обходится всякими скриптами, куда встроены сервисы для решения капчи, такие как икс-каптча, антикапча и тд. Поэтому, возможная альтернатива: новая капча от Google. от Google Как бы многим, в том числе мне хотелось бы, чтобы именно всяких ГУГЛОВСКИХ высеров не стояло на сайте Двач.хк . Так как оно стоит на ГУГЛОВСКОМ сервере, и лишь встраивается в борду, из-за дополнительных запросов к сторонним серверам скорость работы сильно падает. Цифровая же капча работает из скрипта, установленном на самом сервере борды, поэтому нет нужды в никаких сторонних связях. Все работает и запускается на одном сервере, из-за чего скорость работы всего программного комплекса, на котором держится борда, гораздо выше. Проблема усугубляется у тех, у кого интернет не самый быстрый, и порой приходится 4-5 минут решить этот гугловский высер, чтобы отправить пост, написанный за 30 секунд. Так что, я сказал бы, гуглкапча не особо противостоит вайпам, все равно скрипты для них обходят и ее, и все равно приходится вручную удалять их. Гуглкапча лишь ТОРМОЗИТ работу борды и ее пользователей.
",0
"А Россия все еще в плащике ходит постсоветском и пытается навязывать свою волю в виде укры и русские - единый народ . Ахренеть.
",1
"Стоимость разработки и поддержки буквально в разы выше - это ли не минус? Разработка проекта с нуля дороже, а вот поддержка выходит как раз дешевле. Сравнивать языки без контекста - довольно бессмысленное занятие. Не скажите. Язык - это рабочий инструмент, который играет не последнюю роль в тех-самых задачах поддержки. Если в среднем, то процентов на 5 На 30-40 . Говорю об офисной работе, как в СНГ, так и по Европе. Я на удаленке на PHP зарабатываю в три-четыры раза больше, чем Java синиор, например Не особо репрезантативно. Java бояре и RoR в говно записывают Правильно делают, доля RoR стремительно сокращается. Все, кто там работал, сейчас либо вынуждены уходить на удалёнку, либо перекатываться в питон. Ибо вакансий уже трагически мало.
",0
"Я так хочу верить, что ударение на второй слог!
",0
"Так давайте ничего наше государство строить не будет, где срок окупаемости больше 10 лет?
",0
"Тут может быть другая наёбка, когда спасибо начисляются на покупки до 20 т.р. в месяц. На моментальных по крайней мере так
",0
"Коммунисты предлагают отъём средств производства у капиталиста. Средства производства это заводы, здания, станки, сырьевые источники и т.д. в управление государством. Сложно сказать, как лучше.
",0
"Это серийные устройства, используются для коммерческих полетов в напечатанном виде
",0
"Козы и коровы итак жили совсем не в отапливаемом гараже)
",0
"фор тек труст. она вполне милая. если бы я любил жирных бабеней - я бы с этой не слезал.
",1
"0 от сердца к солнцу!
",0
"Нет, данные лопатки есть в продаже как на али так и в магазинах связанных с ремонтом сотовой техники.
",0
"У нас в городе по-моему камеры не работают вообще) я уже специально нарушаю - за полгода 0 штрафов
",0
"А не подскажите - вы покупали недвижимость в стране и если да, то как вы ее выбирали (через какие сайты и т.д.) и о каких суммах идет речь. Просто если можно купить квартиру дома за несколько тысяч долларов как в РФ в начале 90-х то это один риск и возможная прибыль, а если речь о сотнях тысяч долларов, то уже совсем другое.
",0
", не приходи, тут всё в порядке.",0
"Настоящий Мэддисон на стрим не придет? Убермаргинал Мэддисон из лета 2016, когда он начал участвовать в разговорных стримах с магогом и адольфом Игорь Линк Мэддисон из 2012, когда все было просто и можно было заниматься обзорами игор. Itpedia Мэдисон из 2011 2013, когда рандомные дяди за деньги пытались сделать из него серьезного обзорщика игр
",0
"Что этот няшный пупс забыл в скотозагоне пропахшем мочой и вареной морковью? Я не верю что можно за идею пахать где-то тут подвох.
",1
"У этих людей работа такая. Ну и средств получения информации гораздо больше чем у рядового, да даже не рядового, следователя. Однако они и мелочью не занимаются, решают проблемы других порядков.
",0
"Типа есть, чем думать. Лично мне жаль, что его не у бало, как следует. На премию Дарвина прямой кандидат.",1
"Тоже когда-то работал в такой конторке. Платят так, что бы ты не съебался. А сейчас зп 6, премия 16, аванс 22 )
",0
"Если в шарике, то там на напротив терминала Д есть крытый паркинг с выделенными местами для каршеринга. Просто тупо оставляешь и все.
",0
"Да почти каждый вечер блокируют. С Карагандинского кипиша все началось еще, потом дети погибли. Народ волнуется очко сжимается. Хан ссыт чето. Я думал в его возрасте уже нечего боятся. А вы братья словяне не переживайте, Крым ваш и буде с вас. Вежливые люди по казахски не излагают не примут их у нас, так что сами разберемся.
",0
"Ну вот как квартиру купили, так порядок сразу и навели.
",0
"никакого выбора нет ?) а за чей счёт мне будут оплачивать не выход на работу ? за их ?
",0
"Эреб, пидор, а не гей.
",1
"Бля, то, что раньше было обычным делом, сейчас считается отличной работой.
",0
"Полетайте KLM, там такие красавцы попадаются). А женщины наоборот.
",0
"Моего недовольства тут нет. Я нормально зарабатываю и работаю сейчас сам, на себя. Хотя почему то модно переносить примеи на написавшего, с унизительной интерпритацией сказанного. Для того и нужны прозрачные данные зарплат. Что бы у одних не возникало вопросов,а другие не охуевали. Что все люди разные это и иак понятно, и отношения к проблеме того, что кто то судит всех со своей колокольни не имеет. Все люди разные, но имея прозрачные данные, каждый мог бы понимать что, как и почему.
",0
"Пиздец ты наивный - ты где видел нищуков хачей??? Этот Мамет работал за две зп русича притом в два раза меньше
",1
"Не все можно откатить автоматически. Windows 10 откатывается в случае неудачного обновления. С серверами вопрос стоит совершенно иначе. Там ничего автоматически откатывать и накатывать нельзя. Независимо от платформы и разработчика. Назовите мне почтовый софт, который откатывает сервер автоматически и за пять минут в случае неудачного обновления.
",0
"Зависит и очень! Вычеты идут на двух человек или трёх, за один только капремонт вычитают по 900 руб. с человека, вывоз мусора, за Зх, пользование лифтом, за Зх, короче оплачиваешь всё в Зх кратном размере, вместо 2х кратного! обоже Крис, они же еще просто дети!
",0
"Заебись. Тебе в любой теме пиздануть такое надо?
",1
"А суд то будет опираться на заключение экспертизы, которая уже вынесла решение. И как я понял из контекста, директор предприятия не стал ничего делать против.
",0
"Механическим пофиг сколько температура, а с lcd дисплеями мерзнет только сам дисплей. Считать от этого он не перестает. Когда температура повышается, дисплей восстанавливается. И обычно бывают счетчики с диапазоном -20... 55 и -40... 55
",0
"Что они должны переосмыслить, хайэнд контент перенести в начало?
",0
"Это ШВЯТАЯ лужа, русня ебучая! И грязь в ней лечебная. Знаменитые Канзасские источники.
",1
"Ебать сколько ебанутых ватников набежало. 15-20 штук насчитал. Радуйтесь это ваши пенсии, больницы , дороги и т.д.
",1
"Зависит от региона, в москве успешно высылают
",0
"или баба-матершинница
",1
"ТС же собирает в институт поступать, студентам тоже зазорно работать?
",0
"Мммм шавуха... пища богов
",1
"Может и смогут, а может и нет. Мне не нравится что ТС переигрывает про место его и моего жительства, и я докопался. Так как он может быть моим знакомым, другом, соседом. Просто не нравится когда кто то явно врёт. Но все равно итог один, все умрем, рано или поздно, и тогда узнаем, превратимся ли в кучку пепла и на этом все, или все таки что то там есть)
",0
"наш Твой и ещё нескольких обиженок.
",1
"Еще не приходилось видеть непьющего электрика!Там ведь столько всяких фаз-без поллитра не разберешься!!
",0
"Ага, в снегу по яйца, по тайге, скрытно. Ты что боевичков голивудских обсмотрелся?
",1
"У меня мозг такое рисует..., и Гомер Симпсон, и разъяренная женщина со сковородкой, и ангелочек на скалистом обрыве, и даже полет свиньи... Ангелочек над унитазом.... когда я его обнаружила, гордиться начала - собственный ангелочек в туалете ) ручонки сложил, молится....
",1
"Ну в Тайланде могут спиздить. И в Китае. И в Киргизии. И во многих других странах. Причем тут США?
",0
"Потому что приятно внимание, а не сам подарок. Поэтому когда баба: 1) ничего не дарит - значит забыла, бездушная тварь; 2) дарит интересный подарок - забыла, что я просил этого не делать, безразличная тварь; 3) дарит клише - забыла, что я вообще не бреюсь, плевать на меня хотела, тварь.
",1
"Сок в банках в Москве 93-94? Я этот сок последний раз видел в 90-91м в универмаге, где этого сока было 80 ассортимента всего магазина...
",0
"Вот то же самое- за указанное в рецепте время пирог не пропекается!
",0
"Едет блондинка на такой хорошем автомобиле и останавливает ее гаишник. Она без разговора протягивает ему 100 баксов. Он их естественно берет и спрашивает: - Слышь красавица откуда у тебя такие деньги и такая машина. Ты кем работаешь? - А я минетчица. - А-а хуй сосешь? - Ну почему? У тебя есть такая машина? - Нет. - А такие деньги? - Нет. - Так это ты хуй сосешь а я- минетчица!!!
",0
"Это очень здорово. Я на МТС сижу на безлимите за 600р. в месяц и боюсь с него уходить, потому что этот тариф убрали, он остался только у подключенных абонентов.
",0
"Это насколько отдаленный район, что нет карт?
",0
"А что мешает отслеживать объем по водосчетчикам? Ну или ещё один поставить после или перед фильтрами?!
",0
"Фильмы Груз 200 и Кочегар - смрад полный, только в голове психически нездорового человека может родиться такой сценарий.
",1
"С каких пор гомосексуалы и трансгендеры - это одно и то же?
",1
"жители Украины------ украинцы, а не хохлы
",0
"засрал Дюнкерк , НИ ПРА ДИДОВ, ДАЙТИ ДИДОВ ? ну кажити иму шо нолан - гений! А если ему не нравится манера съёмки, так он просто ВАТНИК И ПИДАРАХА! если вам не нравятся 28 панфиловцев я щас просто сделаю вид, что не знаю о том, что ему этот фильм самому не понравился
",1
"Открой Русскую грамматику РАН. Институт русского языка им. В.В.Виноградова. М., 2005. Т. 1. С. 506, 1220
",0
"Забудь об этом сайте и не пиши больше сюда хуйни, ок? Фашик бомбанул и отрицает ахаха это бесценно. Турция - ЕС. Россия - нет. Повторить?
",1
"Ещё раз - про оказавшихся в оккупации гражданских я слова не говорил, это ты сам себе придумал.",0
"спасибо пыня Всегда пожалуйста!
",0
"Да я к тому, что страховой в принципе пофигу, сколько лкп на детали стоило. Если не ошибаюсь, платят по средне рыночной за деталь, вычитая коэффициент износа который считают по возрасту авто) на выпрямление вмятины или замены детали этого хватит, но за восстановление рисунка из кармана платить, как ни крути.
",0
"Вот и хотели проверить...любознательные дебилы
",1
"Есть вопрос: Обязательно рисовать на заготовке или можно и на готовом изделии тоже?
",0
"Детский мир мы без ума от детей
",1
"а знакомые тоже со всей страны ?
",0
"Английский сами изучали или курсы какие-то посещали?
",0
"Павук с колобком меритократом и ко его называют САЙБАБ-ЗИРО
",1
"Что там такого ОП? Дамаг мизерный, контроля нет, мобильность чисто хг занимать, хилит не больше Мойры, сейфхил как у Солдата. Щит не сильнее, чем у танков. И разрушается, и хакается, и не мешает контролю (можно тупо бупнуть за пределы). Ульта да, сильная. Но тоже не настолько, чтобы считать её имбой. Бтв, Бригитта до сих пор не говно. Более того, даже после всех этих нерфов она остаётся сильной и активно играется практически везде.
",0
